epoch,accuracy,loss,val_accuracy,val_loss
0,0.14184169471263885,3.2265894412994385,0.35755813121795654,2.35894513130188
1,0.39952611923217773,2.2310779094696045,0.5188953280448914,1.8874555826187134
2,0.5052510499954224,1.9481152296066284,0.5766715407371521,1.738624930381775
3,0.568647563457489,1.786249041557312,0.5897529125213623,1.7270503044128418
4,0.612256646156311,1.6716843843460083,0.6624273061752319,1.5697075128555298
5,0.6542007923126221,1.5667210817337036,0.695857584476471,1.484171986579895
6,0.6730276346206665,1.512974739074707,0.6900436282157898,1.5062288045883179
7,0.6896772384643555,1.462389588356018,0.7212936282157898,1.4243897199630737
8,0.7112576961517334,1.405548334121704,0.7281976938247681,1.3919615745544434
9,0.7242571711540222,1.3740261793136597,0.734375,1.3758273124694824
10,0.7353355288505554,1.3414322137832642,0.7467296719551086,1.3264020681381226
11,0.7500640153884888,1.2987923622131348,0.7420058250427246,1.3966426849365234
12,0.7526255249977112,1.3120362758636475,0.7474563717842102,1.349236011505127
13,0.763383686542511,1.2723593711853027,0.7696220874786377,1.2877486944198608
14,0.7566598653793335,1.292049527168274,0.7652616500854492,1.2849171161651611
15,0.7724769711494446,1.244367003440857,0.7590842843055725,1.3499095439910889
16,0.7695952653884888,1.2544056177139282,0.7634447813034058,1.3471986055374146
17,0.7831711173057556,1.231902837753296,0.765625,1.3289827108383179
18,0.7865650653839111,1.2205332517623901,0.7852470874786377,1.3036497831344604
19,0.787397563457489,1.2203959226608276,0.7827034592628479,1.3012605905532837
20,0.7910476326942444,1.2058604955673218,0.7819767594337463,1.3059029579162598
21,0.8002689480781555,1.1943737268447876,0.7932412624359131,1.2480945587158203
22,0.8016777634620667,1.20408296585083,0.7983284592628479,1.3100966215133667
23,0.7964907884597778,1.1928130388259888,0.792151153087616,1.2716894149780273
24,0.7996926307678223,1.1906386613845825,0.7892441749572754,1.2980841398239136
25,0.8103227615356445,1.162876844406128,0.7867006063461304,1.322490930557251
26,0.8113473653793335,1.1675236225128174,0.8059592843055725,1.289086937904358
27,0.8084016442298889,1.1717753410339355,0.8048691749572754,1.2889162302017212
28,0.8124359846115112,1.1616519689559937,0.7983284592628479,1.2830731868743896
29,0.8162141442298889,1.1625308990478516,0.8012354373931885,1.2634376287460327
30,0.8146132230758667,1.1590760946273804,0.8070493936538696,1.2771176099777222
31,0.8158939480781555,1.1642059087753296,0.7990552186965942,1.2649677991867065
32,0.8254994750022888,1.142234206199646,0.8063226938247681,1.2659872770309448
33,0.8254354596138,1.1457107067108154,0.8030523061752319,1.2741457223892212
34,0.8194800019264221,1.1636062860488892,0.785973846912384,1.3759182691574097
35,0.8235143423080444,1.1476608514785767,0.8055959343910217,1.2910103797912598
36,0.8285092115402222,1.135477900505066,0.8139534592628479,1.2689573764801025
37,0.8238345384597778,1.1510733366012573,0.8085029125213623,1.275762677192688
38,0.8279328942298889,1.1357547044754028,0.8128633499145508,1.2848353385925293
39,0.8329917788505554,1.1309142112731934,0.8055959343910217,1.2671059370040894
40,0.8279969096183777,1.1411021947860718,0.8095930218696594,1.2600668668746948
41,0.8329917788505554,1.1344660520553589,0.8125,1.3005706071853638
42,0.8295338153839111,1.1381243467330933,0.8019621968269348,1.3135349750518799
